2803|"575103"|"2533061"|"34536292"
2803|"575104"|"2533061"|"34536422"
2717|"575105"|"2533061"|"34536230"
86|"575106"|"2533061"|"34536360"
2717|"575107"|"2533061"|"34536183"
2803|"575108"|"2533061"|"34536132"
2803|"575109"|"2533061"|"34536453"
8714|"575103"|"2533076"|"34536283"
8714|"575104"|"2533076"|"34536413"
8592|"575105"|"2533076"|"34536223"
122|"575106"|"2533076"|"34536351"
8592|"575107"|"2533076"|"34536176"
8714|"575108"|"2533076"|"34536141"
8714|"575109"|"2533076"|"34536462"
20904|"575103"|"2533143"|"34536245"
20904|"575104"|"2533143"|"34536375"
19185|"575105"|"2533143"|"34536120"
1719|"575106"|"2533143"|"34536342"
19185|"575107"|"2533143"|"34536170"
20904|"575108"|"2533143"|"34536438"
20904|"575109"|"2533143"|"34536500"
31519|"575109"|"2532767"|"34536494"
31519|"575108"|"2532767"|"34536432"
19374|"575107"|"2532767"|"34536171"
12145|"575106"|"2532767"|"34536343"
19374|"575105"|"2532767"|"34536192"
31519|"575104"|"2532767"|"34536381"
31519|"575103"|"2532767"|"34536251"
51558|"575109"|"2532590"|"34536465"
51558|"575108"|"2532590"|"34536144"
42129|"575107"|"2532590"|"34536332"
9429|"575106"|"2532590"|"34536348"
42129|"575105"|"2532590"|"34536220"
51558|"575104"|"2532590"|"34536410"
51558|"575103"|"2532590"|"34536280"
12308|"575109"|"184778"|"34536459"
12308|"575108"|"184778"|"34536138"
12208|"575107"|"184778"|"34536179"
100|"575106"|"184778"|"34536354"
12208|"575105"|"184778"|"34536225"
12308|"575104"|"184778"|"34536416"
12308|"575103"|"184778"|"34536286"
