"mixed"|"25330343"|"20039945"
"mixed"|"25330344"|"20039859"
"mixed"|"25330358"|"20039933"
"smectitic"|"25330359"|"20039935"
"smectitic"|"25330360"|"20039934"
"smectitic"|"25330420"|"20039914"
"smectitic"|"25330421"|"20039915"
"smectitic"|"25330422"|"20039916"
"smectitic"|"25330423"|"20039917"
"mixed"|"25330327"|"20039944"
"mixed"|"25330328"|"20039858"
"mixed"|"25330353"|"20039948"
"mixed"|"25330354"|"20039947"
"mixed"|"25330355"|"20039844"
"smectitic"|"25330434"|"20039973"
"smectitic"|"25330435"|"20039974"
