"p"|"75621520"|"32698102"
"t"|"75621524"|"32698427"
"x"|"75621523"|"32698324"
"t"|"75621523"|"32698325"
"t"|"75621522"|"32698101"
"t"|"75621518"|"32698208"
"p"|"75621242"|"32698243"
"t"|"75621241"|"32698244"
"t"|"75621240"|"32698023"
"i"|"75621238"|"32698201"
"t"|"75621237"|"32698200"
"t"|"75621236"|"32698096"
"t"|"75621233"|"32698319"
"t"|"75621234"|"32698052"
"t"|"75621149"|"32698170"
"p"|"75621147"|"32698073"
"t"|"75621148"|"32698169"
"t"|"75621150"|"32698171"
"p"|"75621144"|"32698093"
"t"|"75621145"|"32698423"
"t"|"75621146"|"32698424"
"g"|"75621477"|"32698258"
"t"|"75621477"|"32698259"
"p"|"75621474"|"32698126"
"g"|"75621476"|"32698128"
"t"|"75621476"|"32698129"
"g"|"75621478"|"32698130"
"t"|"75621478"|"32698131"
"g"|"75621475"|"32698127"
"p"|"75621470"|"32698255"
"t"|"75621472"|"32698038"
"t"|"75621471"|"32698039"
"g"|"75621473"|"32698256"
"t"|"75621473"|"32698257"
"p"|"75621467"|"32698363"
"g"|"75621468"|"32698364"
"t"|"75621468"|"32698365"
"g"|"75621469"|"32698366"
"t"|"75621469"|"32698367"
"p"|"75621462"|"32698362"
"g"|"75621464"|"32698036"
"t"|"75621464"|"32698037"
"t"|"75621463"|"32698034"
"g"|"75621463"|"32698035"
"g"|"75621466"|"32698253"
"t"|"75621466"|"32698254"
"t"|"75621465"|"32698251"
"g"|"75621465"|"32698252"
"g"|"75621256"|"32698011"
"t"|"75621256"|"32698012"
"p"|"75621254"|"32698010"
"g"|"75621255"|"32698235"
"t"|"75621255"|"32698236"
"p"|"75621251"|"32698237"
"t"|"75621252"|"32698013"
"t"|"75621253"|"32698114"
"g"|"75621253"|"32698115"
"t"|"75621249"|"32698344"
"t"|"75621203"|"32698296"
"t"|"75621202"|"32698074"
"p"|"75621205"|"32698295"
"t"|"75621204"|"32698075"
"t"|"75621200"|"32698094"
"t"|"75621201"|"32698318"
